2018-02-22 00:35:37.298 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Relation »connections_with_aprx_price« existiert nicht
  Position: 15
2018-02-22 00:35:37.306 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.SearchNode - Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-22 00:35:37.306 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.HotspotSearch - Connectionf for hotspot search can't be calculated.java.lang.IllegalStateException: Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-23 00:10:16.376 [AWT-EventQueue-0] ERROR database.updates.correctDuration - AirportList cant be generated. java.sql.SQLException: AirportList cant be created
2018-02-23 00:12:25.741 [AWT-EventQueue-0] ERROR database.updates.correctDuration - AirportList cant be generated. java.sql.SQLException: AirportList cant be created. org.postgresql.util.PSQLException: FEHLER: Operator existiert nicht: character varying == unknown
  Hinweis: Kein Operator stimmt mit dem angegebenen Namen und den Argumenttypen überein. Sie müssen möglicherweise ausdrückliche Typumwandlungen hinzufügen.
  Position: 104
2018-02-27 01:50:12.968 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 416
2018-02-27 01:50:12.972 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.FindHotspotsToDestination - Inbound hotspot connections for connections to destination cant be determined.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:52:57.750 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 416
2018-02-27 01:52:57.751 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.FindHotspotsToDestination - Inbound hotspot connections for connections to destination cant be determined.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:53:06.873 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 416
2018-02-27 01:53:06.873 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.FindHotspotsToDestination - Inbound hotspot connections for connections to destination cant be determined.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:54:40.722 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 411
2018-02-27 01:54:40.723 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.SearchNode - Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:54:40.723 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.HotspotSearch - Connectionf for hotspot search can't be calculated.java.lang.IllegalStateException: Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:55:02.341 [Thread-3] ERROR database.ConnectedAirports - Cant Query closest airports for: ARK
 org.postgresql.util.PSQLException: FEHLER: Spalte connections.connection_number existiert nicht
  Position: 411
2018-02-27 01:55:02.341 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.SearchNode - Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-27 01:55:02.341 [Thread-3] WARN  pathCalculation.bestPath.hotspotPath.HotspotSearch - Connectionf for hotspot search can't be calculated.java.lang.IllegalStateException: Next nodes for hotspot search can't be calculated.java.sql.SQLException: Cant Query closest airports for: ARK
2018-02-28 20:31:30.496 [Thread-3] ERROR database.QueryConnection - Cant Query connection for: FRA to JFK
 org.postgresql.util.PSQLException: FEHLER: Syntaxfehler bei »origin«
  Position: 798
2018-02-28 20:32:50.047 [Thread-3] ERROR database.utilities.SQLUtilities - Can't read this place from ResultSet: Frankfurt am Main Airport
 org.postgresql.util.PSQLException: Der Spaltenname org_iata_code wurde in diesem ResultSet nicht gefunden.
2018-03-15 21:25:36.468 [Thread-11] ERROR database.Query - For airport FRA it's not possible to determine rest distance
2018-03-15 21:25:36.470 [Thread-15] ERROR database.Query - For airport HRG it's not possible to determine rest distance
2018-03-15 21:25:36.472 [Thread-12] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:25:36.472 [Thread-13] ERROR database.Query - For airport AYT it's not possible to determine rest distance
2018-03-15 21:25:36.471 [Thread-5] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:25:36.469 [Thread-17] ERROR database.Query - For airport SVO it's not possible to determine rest distance
2018-03-15 21:25:36.471 [Thread-10] ERROR database.Query - For airport LHR it's not possible to determine rest distance
2018-03-15 21:25:36.471 [Thread-8] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:25:36.468 [Thread-6] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:25:36.468 [Thread-14] ERROR database.Query - For airport PMI it's not possible to determine rest distance
2018-03-15 21:25:36.468 [Thread-7] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:25:36.468 [Thread-16] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:25:36.468 [Thread-18] ERROR database.Query - For airport IST it's not possible to determine rest distance
2018-03-15 21:25:36.470 [Thread-9] ERROR database.Query - For airport AMS it's not possible to determine rest distance
2018-03-15 21:27:44.975 [Thread-6] ERROR database.Query - For airport PMI it's not possible to determine rest distance
2018-03-15 21:27:44.979 [Thread-13] ERROR database.Query - For airport SVO it's not possible to determine rest distance
2018-03-15 21:27:44.977 [Thread-10] ERROR database.Query - For airport AMS it's not possible to determine rest distance
2018-03-15 21:27:44.977 [Thread-8] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:27:44.980 [Thread-18] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:27:44.981 [Thread-17] ERROR database.Query - For airport HRG it's not possible to determine rest distance
2018-03-15 21:27:44.981 [Thread-7] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:27:44.981 [Thread-12] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:27:44.981 [Thread-14] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:27:44.987 [Thread-15] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:27:44.986 [Thread-9] ERROR database.Query - For airport IST it's not possible to determine rest distance
2018-03-15 21:27:44.987 [Thread-16] ERROR database.Query - For airport LHR it's not possible to determine rest distance
2018-03-15 21:27:44.988 [Thread-5] ERROR database.Query - For airport FRA it's not possible to determine rest distance
2018-03-15 21:27:44.989 [Thread-11] ERROR database.Query - For airport AYT it's not possible to determine rest distance
2018-03-15 21:33:17.273 [Thread-17] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:33:17.271 [Thread-12] ERROR database.Query - For airport AYT it's not possible to determine rest distance
2018-03-15 21:33:17.268 [Thread-13] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:33:17.272 [Thread-8] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:33:17.270 [Thread-9] ERROR database.Query - For airport AMS it's not possible to determine rest distance
2018-03-15 21:33:17.270 [Thread-5] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:33:17.271 [Thread-16] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:33:17.268 [Thread-15] ERROR database.Query - For airport PMI it's not possible to determine rest distance
2018-03-15 21:33:17.269 [Thread-14] ERROR database.Query - For airport IST it's not possible to determine rest distance
2018-03-15 21:33:17.273 [Thread-18] ERROR database.Query - For airport LHR it's not possible to determine rest distance
2018-03-15 21:33:17.271 [Thread-10] ERROR database.Query - For airport HRG it's not possible to determine rest distance
2018-03-15 21:33:17.271 [Thread-11] ERROR database.Query - For airport FRA it's not possible to determine rest distance
2018-03-15 21:33:17.272 [Thread-7] ERROR database.Query - For airport SVO it's not possible to determine rest distance
2018-03-15 21:33:17.268 [Thread-6] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-14] ERROR database.Query - For airport SVO it's not possible to determine rest distance
2018-03-15 21:34:21.867 [Thread-18] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-9] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-8] ERROR database.Query - For airport IST it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-11] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:34:21.867 [Thread-13] ERROR database.Query - For airport AYT it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-16] ERROR database.Query - For airport CDG it's not possible to determine rest distance
2018-03-15 21:34:21.867 [Thread-10] ERROR database.Query - For airport ZRH it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-12] ERROR database.Query - For airport LHR it's not possible to determine rest distance
2018-03-15 21:34:21.867 [Thread-6] ERROR database.Query - For airport FRA it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-15] ERROR database.Query - For airport HRG it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-5] ERROR database.Query - For airport AMS it's not possible to determine rest distance
2018-03-15 21:34:21.868 [Thread-7] ERROR database.Query - For airport PMI it's not possible to determine rest distance
2018-03-15 21:34:21.866 [Thread-17] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:46:07.236 [Thread-14] ERROR database.Query - For airport MUC it's not possible to determine rest distance
2018-03-15 21:46:07.234 [Thread-15] ERROR database.Query - For airport IST it's not possible to determine rest distance
